Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1998","1998","kt","1.9131","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1999","1999","kt","2.1263","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2000","2000","kt","2.7409","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2001","2001","kt","3.4015","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2002","2002","kt","4.3197","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2003","2003","kt","4.3197","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2004","2004","kt","4.3197","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2005","2005","kt","9.0882","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2006","2006","kt","8.6955","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2007","2007","kt","30.2379","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2008","2008","kt","4.8246","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2009","2009","kt","4.3197","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2010","2010","kt","5.6661","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2011","2011","kt","0.7293","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","2012","2012","kt","0.7293","E","Estimated value"
